	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
Trial1.fna_assembly_LT906445.1_348	Trial1.fna_assembly	LT906445.1	348	420447	420677	1	C	K02963	small subunit ribosomal protein S18								Ribosomal protein S18 [PF01084.23]					0
Trial1.fna_assembly_LT906445.1_349	Trial1.fna_assembly	LT906445.1	349	421111	421974	1	D										Bacterial extracellular solute-binding protein [PF13531.9]					0
Trial1.fna_assembly_LT906445.1_350	Trial1.fna_assembly	LT906445.1	350	421967	422773	1	C	K02574	ferredoxin-type protein NapH								4Fe-4S dicluster domain [PF13187.9]					0
Trial1.fna_assembly_LT906445.1_351	Trial1.fna_assembly	LT906445.1	351	422776	423606	1	C	K02585	nitrogen fixation protein NifB								Radical SAM superfamily [PF04055.24]					0
Trial1.fna_assembly_LT906445.1_352	Trial1.fna_assembly	LT906445.1	352	423655	424812	-1	D										Aminotransferase class-V [PF00266.22]; DegT/DnrJ/EryC1/StrS aminotransferase family [PF01041.20]; L-seryl-tRNA selenium transferase [PF03841.16]; Serine hydroxymethyltransferase [PF00464.22]; Pyridoxal-dependent decarboxylase conserved domain [PF00282.22]; Cys/Met metabolism PLP-dependent enzyme [PF01053.23]					0
Trial1.fna_assembly_LT906445.1_353	Trial1.fna_assembly	LT906445.1	353	424933	425994	1	D										Sulphur transport [PF04143.17]					0
Trial1.fna_assembly_LT906445.1_354	Trial1.fna_assembly	LT906445.1	354	426122	426370	1	D										Putative Se/S carrier protein-like [PF11823.11]					0
Trial1.fna_assembly_LT906445.1_355	Trial1.fna_assembly	LT906445.1	355	426671	427405	1	C	K01607	4-carboxymuconolactone decarboxylase [EC:4.1.1.44]													0
Trial1.fna_assembly_LT906445.1_356	Trial1.fna_assembly	LT906445.1	356	427606	428265	1	C	K03439	tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]								Putative methyltransferase [PF02390.20]					0
Trial1.fna_assembly_LT906445.1_357	Trial1.fna_assembly	LT906445.1	357	428267	429610	1	C	K03588	cell division protein FtsW								Cell cycle protein [PF01098.22]					0
Trial1.fna_assembly_LT906445.1_358	Trial1.fna_assembly	LT906445.1	358	429721	431004	1	C	K02824	uracil permease								Permease family [PF00860.23]					0
Trial1.fna_assembly_LT906445.1_359	Trial1.fna_assembly	LT906445.1	359	431201	431665	1	D										NfeD-like C-terminal, partner-binding [PF01957.21]					0
Trial1.fna_assembly_LT906445.1_360	Trial1.fna_assembly	LT906445.1	360	431702	432658	1	D										Flotillin-like protein FloA [PF12127.11]					0
Trial1.fna_assembly_LT906445.1_361	Trial1.fna_assembly	LT906445.1	361	432667	433323	1	E															0
Trial1.fna_assembly_LT906445.1_362	Trial1.fna_assembly	LT906445.1	362	433576	434307	1	E															0
Trial1.fna_assembly_LT906445.1_363	Trial1.fna_assembly	LT906445.1	363	434362	435300	1	E															0
Trial1.fna_assembly_LT906445.1_364	Trial1.fna_assembly	LT906445.1	364	435449	436042	1	E															0
Trial1.fna_assembly_LT906445.1_365	Trial1.fna_assembly	LT906445.1	365	436302	437552	1	D										Major Facilitator Superfamily [PF07690.19]; Sugar (and other) transporter [PF00083.27]					0
Trial1.fna_assembly_LT906445.1_366	Trial1.fna_assembly	LT906445.1	366	437631	438854	-1	C	K01258	tripeptide aminopeptidase [EC:3.4.11.4]	MER0472029	M20B	MER0472029 - peptidase T (Veillonella sp. 6_1_27) [M20.003]#M20B#{peptidase unit: 13-405}~source ZP_06758144~	True	0.965	800.0	5.087e-261	Peptidase family M20/M25/M40 [PF01546.31]					0
Trial1.fna_assembly_LT906445.1_367	Trial1.fna_assembly	LT906445.1	367	439101	441038	1	D										OPT oligopeptide transporter protein [PF03169.18]					0
Trial1.fna_assembly_LT906445.1_368	Trial1.fna_assembly	LT906445.1	368	441390	442175	1	C	K02030	polar amino acid transport system substrate-binding protein								Bacterial extracellular solute-binding proteins, family 3 [PF00497.23]; Ligated ion channel L-glutamate- and glycine-binding site [PF10613.12]; NMT1/THI5 like [PF09084.14]					0
Trial1.fna_assembly_LT906445.1_369	Trial1.fna_assembly	LT906445.1	369	442253	443278	1	C	K00547	homocysteine S-methyltransferase [EC:2.1.1.10]								Homocysteine S-methyltransferase [PF02574.19]					0
Trial1.fna_assembly_LT906445.1_370	Trial1.fna_assembly	LT906445.1	370	443682	444917	-1	D										Flavodoxin [PF00258.28]; Metallo-beta-lactamase superfamily [PF00753.30]; ODP family beta lactamase [PF19583.2]					0
Trial1.fna_assembly_LT906445.1_371	Trial1.fna_assembly	LT906445.1	371	445084	448824	-1	C	K01952	phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	MER0129907	C56	MER0129907 - family C56 non-peptidase homologues (Veillonella parvula) [C56.UNW]#C56#{peptidase unit: 576-684}~source GEBA2500349024~	False	0.966	224.0	4.064e-57	CobB/CobQ-like glutamine amidotransferase domain [PF13507.9]; Formylglycinamide ribonucleotide amidotransferase linker domain [PF18072.4]; AIR synthase related protein, C-terminal domain [PF02769.25]					0
Trial1.fna_assembly_LT906445.1_372	Trial1.fna_assembly	LT906445.1	372	449092	449997	1	D										Bacterial regulatory helix-turn-helix protein, lysR family [PF00126.30]					0
Trial1.fna_assembly_LT906445.1_373	Trial1.fna_assembly	LT906445.1	373	450252	450827	1	C	K03816	xanthine phosphoribosyltransferase [EC:2.4.2.22]								Phosphoribosyl transferase domain [PF00156.30]					0
Trial1.fna_assembly_LT906445.1_374	Trial1.fna_assembly	LT906445.1	374	450855	451301	1	E															0
Trial1.fna_assembly_LT906445.1_375	Trial1.fna_assembly	LT906445.1	375	451313	451753	1	E															0
Trial1.fna_assembly_LT906445.1_376	Trial1.fna_assembly	LT906445.1	376	452188	452679	1	C	K01588	5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]								AIR carboxylase [PF00731.23]					0
Trial1.fna_assembly_LT906445.1_377	Trial1.fna_assembly	LT906445.1	377	452782	453510	1	C	K01923	phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]								SAICAR synthetase [PF01259.21]					0
Trial1.fna_assembly_LT906445.1_378	Trial1.fna_assembly	LT906445.1	378	453522	454940	1	C	K00764	amidophosphoribosyltransferase [EC:2.4.2.14]	MER0231175	C44	MER0231175 - amidophosphoribosyltransferase precursor (Veillonella sp. 3_1_44) [C44.001]#C44#{peptidase unit: 14-242}~source EFG22708~	True	0.964	467.0	2.4100000000000003e-144	Glutamine amidotransferase domain [PF13522.9]; Glutamine amidotransferase domain [PF13537.9]; Phosphoribosyl transferase domain [PF00156.30]; Glutamine amidotransferases class-II [PF13230.9]					0
Trial1.fna_assembly_LT906445.1_379	Trial1.fna_assembly	LT906445.1	379	454927	455988	1	C	K01933	phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]								AIR synthase related protein, N-terminal domain [PF00586.27]					0
Trial1.fna_assembly_LT906445.1_380	Trial1.fna_assembly	LT906445.1	380	455981	456604	1	C	K11175	phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]								Formyl transferase [PF00551.22]					0
Trial1.fna_assembly_LT906445.1_381	Trial1.fna_assembly	LT906445.1	381	456631	458160	1	C	K00602	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]								AICARFT/IMPCHase bienzyme [PF01808.21]; MGS-like domain [PF02142.25]; Phosphoribosylglycinamide synthetase, N domain [PF02844.18]					0
Trial1.fna_assembly_LT906445.1_382	Trial1.fna_assembly	LT906445.1	382	458307	459569	1	C	K01945	phosphoribosylamine---glycine ligase [EC:6.3.4.13]								Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain [PF01071.22]; Phosphoribosylglycinamide synthetase, N domain [PF02844.18]; Phosphoribosylglycinamide synthetase, C domain [PF02843.19]; Carbamoyl-phosphate synthase L chain, ATP binding domain [PF02786.20]; ATP-grasp domain [PF02655.17]; RimK-like ATP-grasp domain [PF08443.14]; ATP-grasp domain [PF13535.9]; ATP-grasp domain [PF08442.13]; ATP-grasp domain [PF02222.25]					0
Trial1.fna_assembly_LT906445.1_383	Trial1.fna_assembly	LT906445.1	383	459832	460974	1	D			MER0491788	C26	MER0491788 - family C26 unassigned peptidases (Halogranum salarium) [C26.UPW]#C26#{peptidase unit: 360-446}~source WP_009374489~	False	0.474	77.0	2.482e-13	chorismate binding enzyme [PF00425.21]					0
Trial1.fna_assembly_LT906445.1_384	Trial1.fna_assembly	LT906445.1	384	461015	462868	1	C	K02551	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]								Middle domain of thiamine pyrophosphate [PF16582.8]; Thiamine pyrophosphate enzyme, N-terminal TPP binding domain [PF02776.21]; Thiamine pyrophosphate enzyme, C-terminal TPP binding domain [PF02775.24]					0
Trial1.fna_assembly_LT906445.1_385	Trial1.fna_assembly	LT906445.1	385	462865	463725	1	C	K08680	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase [EC:4.2.99.20]	MER0129905	S33	MER0129905 - family S33 unassigned peptidases (Veillonella parvula) [S33.UPW]#S33#{peptidase unit: 29-276}~source GEBA2500349009~	True	0.977	513.0	7.667e-164	Serine aminopeptidase, S33 [PF12146.11]; alpha/beta hydrolase fold [PF00561.23]; Alpha/beta hydrolase family [PF12697.10]; Ndr family [PF03096.17]; Alpha/beta hydrolase of unknown function (DUF1057) [PF06342.15]					0
Trial1.fna_assembly_LT906445.1_386	Trial1.fna_assembly	LT906445.1	386	463730	464572	1	C	K01661	naphthoate synthase [EC:4.1.3.36]	MER1072137	S49C	MER1072137 - subfamily S49C non-peptidase homologues (Thermomicrobium roseum) [S49.UNC]#S49C#{peptidase unit: 100-214}~source B9L3E0~	False	0.807	191.0	1.212e-52	Enoyl-CoA hydratase/isomerase [PF00378.23]; Enoyl-CoA hydratase/isomerase [PF16113.8]					0
Trial1.fna_assembly_LT906445.1_387	Trial1.fna_assembly	LT906445.1	387	464789	466273	1	C	K01911	o-succinylbenzoate---CoA ligase [EC:6.2.1.26]								AMP-binding enzyme [PF00501.31]; AMP-binding enzyme C-terminal domain [PF13193.9]					0
Trial1.fna_assembly_LT906445.1_388	Trial1.fna_assembly	LT906445.1	388	466281	467432	1	D										Enolase C-terminal domain-like [PF13378.9]; Mandelate racemase / muconate lactonizing enzyme, N-terminal domain [PF02746.19]					0
Trial1.fna_assembly_LT906445.1_389	Trial1.fna_assembly	LT906445.1	389	467429	467806	1	C	K19222	1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]													0
Trial1.fna_assembly_LT906445.1_390	Trial1.fna_assembly	LT906445.1	390	468044	468664	-1	E															0
Trial1.fna_assembly_LT906445.1_391	Trial1.fna_assembly	LT906445.1	391	469606	470625	-1	D										Virulence protein RhuM family [PF13310.9]					0
Trial1.fna_assembly_LT906445.1_392	Trial1.fna_assembly	LT906445.1	392	470668	471039	-1	D										Helix-turn-helix domain [PF12844.10]; Helix-turn-helix [PF01381.25]					0
Trial1.fna_assembly_LT906445.1_393	Trial1.fna_assembly	LT906445.1	393	471173	471397	1	E															0
Trial1.fna_assembly_LT906445.1_394	Trial1.fna_assembly	LT906445.1	394	471429	471575	1	E															0
Trial1.fna_assembly_LT906445.1_395	Trial1.fna_assembly	LT906445.1	395	471572	471796	-1	D										Uncharacterized protein conserved in bacteria (DUF2188) [PF09954.12]					0
Trial1.fna_assembly_LT906445.1_396	Trial1.fna_assembly	LT906445.1	396	472149	472790	1	D										Domain of unknown function (DUF4178) [PF13785.9]					0
Trial1.fna_assembly_LT906445.1_397	Trial1.fna_assembly	LT906445.1	397	472900	474273	-1	C	K11382	MFS transporter, OPA family, phosphoglycerate transporter protein								Major Facilitator Superfamily [PF07690.19]; Sugar (and other) transporter [PF00083.27]					0
Trial1.fna_assembly_LT906445.1_398	Trial1.fna_assembly	LT906445.1	398	474485	474697	1	E															0
Trial1.fna_assembly_LT906445.1_399	Trial1.fna_assembly	LT906445.1	399	474763	475848	1	E															0
Trial1.fna_assembly_LT906445.1_400	Trial1.fna_assembly	LT906445.1	400	475933	476724	-1	D										Carbon-nitrogen hydrolase [PF00795.25]					0
Trial1.fna_assembly_LT906445.1_401	Trial1.fna_assembly	LT906445.1	401	477028	477831	1	C	K22278	peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]								Polysaccharide deacetylase [PF01522.24]	CE4	CE4 acetyl xylan esterase (EC 3.1.1.72); chitin deacetylase (EC 3.5.1.41); chitooligosaccharide deacetylase (EC 3.5.1.-); peptidoglycan GlcNAc deacetylase (EC 3.5.1.-); peptidoglycan N-acetylmuramic acid deacetylase (EC 3.5.1.-).	2.4.1.-,3.1.1.6,3.1.1.72,3.1.1.-,3.2.1.8,3.2.1.-,3.5.1.104,3.5.1.41,3.5.1.-	CE4.hmm	0
Trial1.fna_assembly_LT906445.1_402	Trial1.fna_assembly	LT906445.1	402	477876	478781	1	D										Phosphodiester glycosidase [PF09992.12]					0
Trial1.fna_assembly_LT906445.1_403	Trial1.fna_assembly	LT906445.1	403	478790	479737	1	E															0
Trial1.fna_assembly_LT906445.1_404	Trial1.fna_assembly	LT906445.1	404	479810	480985	1	C	K02841	lipopolysaccharide heptosyltransferase I [EC:2.4.99.23]								Glycosyltransferase family 9 (heptosyltransferase) [PF01075.20]	GT9	GT9 lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); heptosyltransferase (EC 2.4.-.-).	2.4.1.56,2.4.99.-	GT9.hmm	0
Trial1.fna_assembly_LT906445.1_405	Trial1.fna_assembly	LT906445.1	405	480972	481298	1	E															0
Trial1.fna_assembly_LT906445.1_406	Trial1.fna_assembly	LT906445.1	406	481843	483195	1	D										Conserved carboxylase domain [PF02436.21]; HMGL-like [PF00682.22]					0
Trial1.fna_assembly_LT906445.1_407	Trial1.fna_assembly	LT906445.1	407	483646	484986	1	D										Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; His Kinase A (phospho-acceptor) domain [PF00512.28]					0
Trial1.fna_assembly_LT906445.1_408	Trial1.fna_assembly	LT906445.1	408	484983	485672	1	C	K02483	two-component system, OmpR family, response regulator								Response regulator receiver domain [PF00072.27]; Transcriptional regulatory protein, C terminal [PF00486.31]					0
Trial1.fna_assembly_LT906445.1_409	Trial1.fna_assembly	LT906445.1	409	486341	487438	1	C	K04771	serine protease Do [EC:3.4.21.107]	MER0244247	S01C	MER0244247 - subfamily S1C unassigned peptidases (Veillonella sp) [S01.UPC]#S01C#{peptidase unit: 92-359}~source ZP_07827640~	True	0.907	510.0	3.415e-161	Trypsin-like peptidase domain [PF13365.9]; PDZ domain [PF13180.9]; Peptidase family M50 [PF02163.25]					0
Trial1.fna_assembly_LT906445.1_410	Trial1.fna_assembly	LT906445.1	410	487777	488106	1	C	K10947	PadR family transcriptional regulator, regulatory protein PadR								Transcriptional regulator PadR-like family [PF03551.17]					0
Trial1.fna_assembly_LT906445.1_411	Trial1.fna_assembly	LT906445.1	411	488093	488668	1	D										Protein of unknown function (DUF1700) [PF08006.14]					0
Trial1.fna_assembly_LT906445.1_412	Trial1.fna_assembly	LT906445.1	412	488678	489028	1	E															0
Trial1.fna_assembly_LT906445.1_413	Trial1.fna_assembly	LT906445.1	413	489221	489649	1	E															0
Trial1.fna_assembly_LT906445.1_414	Trial1.fna_assembly	LT906445.1	414	489923	490510	-1	C	K00762	orotate phosphoribosyltransferase [EC:2.4.2.10]								Phosphoribosyl transferase domain [PF00156.30]					0
Trial1.fna_assembly_LT906445.1_415	Trial1.fna_assembly	LT906445.1	415	490507	491226	-1	C	K01591	orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]								Orotidine 5'-phosphate decarboxylase / HUMPS family [PF00215.27]					0
Trial1.fna_assembly_LT906445.1_416	Trial1.fna_assembly	LT906445.1	416	491415	492044	1	C	K02342	DNA polymerase III subunit epsilon [EC:2.7.7.7]								Exonuclease [PF00929.27]; 3'-5' exoribonuclease Rv2179c-like domain [PF16473.8]					0
Trial1.fna_assembly_LT906445.1_417	Trial1.fna_assembly	LT906445.1	417	492059	492721	1	C	K01619	deoxyribose-phosphate aldolase [EC:4.1.2.4]								DeoC/LacD family aldolase [PF01791.12]					0
Trial1.fna_assembly_LT906445.1_418	Trial1.fna_assembly	LT906445.1	418	492775	494076	1	C	K00756	pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]								Glycosyl transferase family, a/b domain [PF00591.24]; Pyrimidine nucleoside phosphorylase C-terminal domain [PF07831.16]; Glycosyl transferase family, helical bundle domain [PF02885.20]					0
Trial1.fna_assembly_LT906445.1_419	Trial1.fna_assembly	LT906445.1	419	494087	494482	1	C	K01489	cytidine deaminase [EC:3.5.4.5]								Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.26]; Cytidine and deoxycytidylate deaminase zinc-binding region [PF08211.15]					0
Trial1.fna_assembly_LT906445.1_420	Trial1.fna_assembly	LT906445.1	420	494520	495338	-1	C	K02073	D-methionine transport system substrate-binding protein								NlpA lipoprotein [PF03180.17]					0
Trial1.fna_assembly_LT906445.1_421	Trial1.fna_assembly	LT906445.1	421	495482	496429	-1	C	K02548	1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]								UbiA prenyltransferase family [PF01040.21]					0
Trial1.fna_assembly_LT906445.1_422	Trial1.fna_assembly	LT906445.1	422	496627	497571	1	E															0
Trial1.fna_assembly_LT906445.1_423	Trial1.fna_assembly	LT906445.1	423	497573	498352	1	E															0
Trial1.fna_assembly_LT906445.1_424	Trial1.fna_assembly	LT906445.1	424	498485	498856	1	C	K09022	2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]								Endoribonuclease L-PSP [PF01042.24]; YjgF/chorismate_mutase-like, putative endoribonuclease [PF14588.9]					0
Trial1.fna_assembly_LT906445.1_425	Trial1.fna_assembly	LT906445.1	425	498858	500105	1	D										Serine dehydratase alpha chain [PF03313.18]					0
Trial1.fna_assembly_LT906445.1_426	Trial1.fna_assembly	LT906445.1	426	500218	501405	-1	C	K08223	MFS transporter, FSR family, fosmidomycin resistance protein								Major Facilitator Superfamily [PF07690.19]; MFS_1 like family [PF12832.10]					0
Trial1.fna_assembly_LT906445.1_427	Trial1.fna_assembly	LT906445.1	427	501508	502053	-1	C	K11991	tRNA(adenine34) deaminase [EC:3.5.4.33]								MafB19-like deaminase [PF14437.9]; Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.26]					0
Trial1.fna_assembly_LT906445.1_428	Trial1.fna_assembly	LT906445.1	428	502068	502763	1	D										Glycine transporter [PF03458.16]					0
Trial1.fna_assembly_LT906445.1_429	Trial1.fna_assembly	LT906445.1	429	502912	504726	1	D										Protein of unknown function (DUF4127) [PF13552.9]					0
Trial1.fna_assembly_LT906445.1_430	Trial1.fna_assembly	LT906445.1	430	504743	505858	1	D										Acyltransferase family [PF01757.25]					0
Trial1.fna_assembly_LT906445.1_431	Trial1.fna_assembly	LT906445.1	431	506144	507001	1	C	K00824	D-alanine transaminase [EC:2.6.1.21]								Amino-transferase class IV [PF01063.22]					0
Trial1.fna_assembly_LT906445.1_432	Trial1.fna_assembly	LT906445.1	432	507057	508103	1	C	K02071	D-methionine transport system ATP-binding protein								ABC transporter [PF00005.30]; NIL domain [PF09383.13]					0
Trial1.fna_assembly_LT906445.1_433	Trial1.fna_assembly	LT906445.1	433	508084	508737	1	C	K02072	D-methionine transport system permease protein								Binding-protein-dependent transport system inner membrane component [PF00528.25]					0
Trial1.fna_assembly_LT906445.1_434	Trial1.fna_assembly	LT906445.1	434	508747	509043	1	D										Trp repressor protein [PF01371.22]					0
Trial1.fna_assembly_LT906445.1_435	Trial1.fna_assembly	LT906445.1	435	509109	509903	1	C	K07090	uncharacterized protein								Sulfite exporter TauE/SafE [PF01925.22]					0
Trial1.fna_assembly_LT906445.1_436	Trial1.fna_assembly	LT906445.1	436	509915	510682	1	D										Enoyl-(Acyl carrier protein) reductase [PF13561.9]; short chain dehydrogenase [PF00106.28]; KR domain [PF08659.13]					0
Trial1.fna_assembly_LT906445.1_437	Trial1.fna_assembly	LT906445.1	437	510809	511660	1	E															0
Trial1.fna_assembly_LT906445.1_438	Trial1.fna_assembly	LT906445.1	438	511683	512027	1	D										Protein of unknown function (DUF1232) [PF06803.15]					0
Trial1.fna_assembly_LT906445.1_439	Trial1.fna_assembly	LT906445.1	439	512144	512563	1	C	K07107	acyl-CoA thioester hydrolase [EC:3.1.2.-]								Thioesterase-like superfamily [PF13279.9]; Acyl-ACP thioesterase [PF01643.20]					0
Trial1.fna_assembly_LT906445.1_440	Trial1.fna_assembly	LT906445.1	440	512556	513359	1	C	K01776	glutamate racemase [EC:5.1.1.3]								Asp/Glu/Hydantoin racemase [PF01177.25]					0
Trial1.fna_assembly_LT906445.1_441	Trial1.fna_assembly	LT906445.1	441	513372	513911	1	E															0
Trial1.fna_assembly_LT906445.1_442	Trial1.fna_assembly	LT906445.1	442	513924	514574	1	D										F420-0:Gamma-glutamyl ligase [PF01996.19]					0
Trial1.fna_assembly_LT906445.1_443	Trial1.fna_assembly	LT906445.1	443	514734	516479	1	D										Hydantoinase/oxoprolinase [PF01968.21]; Hydantoinase/oxoprolinase N-terminal region [PF05378.16]					0
Trial1.fna_assembly_LT906445.1_444	Trial1.fna_assembly	LT906445.1	444	516469	517893	1	D										Histone deacetylase domain [PF00850.22]					0
Trial1.fna_assembly_LT906445.1_445	Trial1.fna_assembly	LT906445.1	445	518057	518812	1	C	K00989	ribonuclease PH [EC:2.7.7.56]								3' exoribonuclease family, domain 1 [PF01138.24]					0
Trial1.fna_assembly_LT906445.1_446	Trial1.fna_assembly	LT906445.1	446	518814	519389	1	C	K01519	XTP/dITP diphosphohydrolase [EC:3.6.1.66]								Ham1 family [PF01725.19]					0
Trial1.fna_assembly_LT906445.1_447	Trial1.fna_assembly	LT906445.1	447	519456	519953	1	C	K07095	uncharacterized protein								Calcineurin-like phosphoesterase superfamily domain [PF12850.10]					0
Trial1.fna_assembly_LT906445.1_448	Trial1.fna_assembly	LT906445.1	448	520031	520813	1	D										S-adenosylmethionine decarboxylase [PF02675.18]					0
Trial1.fna_assembly_LT906445.1_449	Trial1.fna_assembly	LT906445.1	449	521102	522307	1	C	K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]								Malic enzyme, NAD binding domain [PF03949.18]; Malic enzyme, N-terminal domain [PF00390.22]					0
Trial1.fna_assembly_LT906445.1_450	Trial1.fna_assembly	LT906445.1	450	523113	524603	1	D										Family of unknown function (DUF5677) [PF18928.3]					0
Trial1.fna_assembly_LT906445.1_451	Trial1.fna_assembly	LT906445.1	451	524596	525678	1	E															0
Trial1.fna_assembly_LT906445.1_452	Trial1.fna_assembly	LT906445.1	452	525696	526907	-1	C	K14059	integrase								Phage integrase family [PF00589.25]; Phage integrase, N-terminal SAM-like domain [PF14659.9]					0
Trial1.fna_assembly_LT906445.1_453	Trial1.fna_assembly	LT906445.1	453	526876	529461	-1	D										TrwC relaxase [PF08751.14]; AAA domain [PF13604.9]; PIF1-like helicase [PF05970.17]; AAA domain [PF13245.9]					0
Trial1.fna_assembly_LT906445.1_454	Trial1.fna_assembly	LT906445.1	454	529468	531384	-1	C	K03205	type IV secretion system protein VirD4 [EC:7.4.2.8]								Type IV secretion-system coupling protein DNA-binding domain [PF10412.12]; Type IV secretory system Conjugative DNA transfer [PF02534.17]; TraM recognition site of TraD and TraG [PF12696.10]					0
Trial1.fna_assembly_LT906445.1_455	Trial1.fna_assembly	LT906445.1	455	531389	531685	-1	E															0
Trial1.fna_assembly_LT906445.1_456	Trial1.fna_assembly	LT906445.1	456	532063	532152	-1	E															0
Trial1.fna_assembly_LT906445.1_457	Trial1.fna_assembly	LT906445.1	457	532167	532346	-1	E															0
Trial1.fna_assembly_LT906445.1_458	Trial1.fna_assembly	LT906445.1	458	532543	533382	1	D										Helix-turn-helix [PF01381.25]; Helix-turn-helix domain [PF12844.10]					0
Trial1.fna_assembly_LT906445.1_459	Trial1.fna_assembly	LT906445.1	459	533406	535346	1	C	K07316	adenine-specific DNA-methyltransferase [EC:2.1.1.72]								DNA methylase [PF01555.21]; Type III R-M EcoP15I C-terminal domain [PF18273.4]					0
Trial1.fna_assembly_LT906445.1_460	Trial1.fna_assembly	LT906445.1	460	535348	538302	1	C	K01156	type III restriction enzyme [EC:3.1.21.5]								Endonuclease domain [PF19778.2]; Type III restriction enzyme, res subunit [PF04851.18]					0
Trial1.fna_assembly_LT906445.1_461	Trial1.fna_assembly	LT906445.1	461	538907	546373	1	D										YadA-like membrane anchor domain [PF03895.18]; Extended Signal Peptide of Type V secretion system [PF13018.9]					0
Trial1.fna_assembly_LT906445.1_462	Trial1.fna_assembly	LT906445.1	462	546615	547772	1	D										Type I restriction enzyme R protein N terminus (HSDR_N) [PF13588.9]					0
Trial1.fna_assembly_LT906445.1_463	Trial1.fna_assembly	LT906445.1	463	547830	549029	1	D										Type I restriction enzyme R protein N terminus (HSDR_N) [PF13588.9]					0
Trial1.fna_assembly_LT906445.1_464	Trial1.fna_assembly	LT906445.1	464	548980	549183	1	E															0
Trial1.fna_assembly_LT906445.1_465	Trial1.fna_assembly	LT906445.1	465	549279	551456	1	C	K04086	ATP-dependent Clp protease ATP-binding subunit ClpL								AAA domain (Cdc48 subfamily) [PF07724.17]; AAA lid domain [PF17871.4]; C-terminal, D2-small domain, of ClpB protein [PF10431.12]; AAA domain (dynein-related subfamily) [PF07728.17]; ATPase family associated with various cellular activities (AAA) [PF00004.32]; Sigma-54 interaction domain [PF00158.29]; Bacterial TniB protein [PF05621.14]; Holliday junction DNA helicase RuvB P-loop domain [PF05496.15]					0
Trial1.fna_assembly_LT906445.1_466	Trial1.fna_assembly	LT906445.1	466	551720	553024	1	C	K03147	phosphomethylpyrimidine synthase [EC:4.1.99.17]								Radical SAM ThiC family [PF01964.21]					0
Trial1.fna_assembly_LT906445.1_467	Trial1.fna_assembly	LT906445.1	467	553048	553245	1	C	K03154	sulfur carrier protein													0
Trial1.fna_assembly_LT906445.1_468	Trial1.fna_assembly	LT906445.1	468	553247	554017	1	C	K03149	thiazole synthase [EC:2.8.1.10]								Thiazole biosynthesis protein ThiG [PF05690.17]					0
Trial1.fna_assembly_LT906445.1_469	Trial1.fna_assembly	LT906445.1	469	554027	555127	1	C	K03150	2-iminoacetate synthase [EC:4.1.99.19]								Biotin and Thiamin Synthesis associated domain [PF06968.16]					0
Trial1.fna_assembly_LT906445.1_470	Trial1.fna_assembly	LT906445.1	470	555140	555778	1	D										ThiF family [PF00899.24]					0
Trial1.fna_assembly_LT906445.1_471	Trial1.fna_assembly	LT906445.1	471	555779	556426	1	C	K00788	thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]								Thiamine monophosphate synthase [PF02581.20]					0
Trial1.fna_assembly_LT906445.1_472	Trial1.fna_assembly	LT906445.1	472	556606	557373	1	C	K07160	5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9]								LamB/YcsF family [PF03746.19]					0
Trial1.fna_assembly_LT906445.1_473	Trial1.fna_assembly	LT906445.1	473	557502	558698	1	D										Natural resistance-associated macrophage protein [PF01566.21]					0
Trial1.fna_assembly_LT906445.1_474	Trial1.fna_assembly	LT906445.1	474	558773	559516	1	C	K06351	inhibitor of KinA								Carboxyltransferase domain, subdomain C and D [PF02682.19]					0
